Game,Opponent,Opponent Division,Opponent Pitcher,Opponent Pitcher Hand,Home v Away,Stadium,Game Start,Temperature ,Game Conditions,HP Umpire,Inning,At Bat #,Pitch,Pitch Type,Pitch Speed,Times seen pitch in at bat,Times seen pitch in game,pre-pitch balls,pre-pitch strikes,Result,Location,First At Bat,Second At Bat,Third At Bat,Fourth At Bat,Faced Team Before?,AL East?,Faced Pitcher Before?,How Many Times?,40-50 Deg,50-60 Deg,60-70 Deg,70-80 Deg,80+ Deg,Ball In Play,>4 Pitches,>5 Pitches,>6 Pitches,>7 Pitches,CY Young P,2021 All Star P,Late Game,Extra Innings,PP FB,PP Cut,PP Change,PP Curve,PP Slider,PP Sinker,PP Splitter,PP Knuckle Cv,,,,,,,,,,
4,Rangers,AL West,M. Foltynewicz,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,1,1,4,Slider,84.2,1,1,1,2,Ball,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,M. Foltynewicz,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,1,1,5,Fastball,95.6,1,1,2,2,Foul,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,M. Foltynewicz,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,1,1,6,Slider,84.4,2,2,2,2,Foul,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,
4,Rangers,AL West,M. Foltynewicz,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,1,1,7,Slider,83.2,3,3,2,2,Swinging Strike out,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,M. Foltynewicz,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,3,2,1,Fastball,93.3,0,2,0,0,Called Strike,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,M. Foltynewicz,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,3,2,2,Fastball,92.3,1,3,0,1,Foul,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,
4,Rangers,AL West,M. Foltynewicz,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,3,2,3,Slider,83.6,0,4,0,2,Called Strike,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,
4,Rangers,AL West,K. Cody,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,6,3,1,Slider,82.5,0,0,0,0,Called Strike,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,K. Cody,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,6,3,2,Slider,83.7,1,1,0,1,Swinging strike,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,K. Cody,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,6,3,3,Slider,84.3,2,2,0,2,Ball,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
